Pclass,Age,Fare,Family_Presence,Sex_male,Embarked_Q,Embarked_S,Survived
3,1,11.1333,1,0,0,1,1
2,41,19.5,1,0,0,1,1
3,17,8.6625,0,1,0,1,0
2,42,26,1,0,0,1,1
3,30.37834711,23.25,1,0,1,0,1
2,35,10.5,0,1,0,1,0
1,64,263,1,1,0,1,0
3,38,31.3875,1,0,0,1,1
1,61,32.3208,0,1,0,1,0
3,17,8.6625,0,1,0,1,0
3,11,31.275,1,0,0,1,0
3,34,6.4958,0,1,0,1,0
1,52,30.5,0,1,0,1,1
1,21,77.2875,1,1,0,1,0
3,30.37834711,16.1,1,0,0,1,1
3,16,20.25,1,1,0,1,0
2,50,10.5,0,0,0,1,1
3,30.37834711,7.75,0,0,1,0,1
2,25,41.5792,1,1,0,0,0
1,61,33.5,0,1,0,1,0
3,2,27.9,1,0,0,1,0
1,38,71.2833,1,0,0,0,1
2,34,13,0,1,0,1,0
3,17,8.6625,0,1,0,1,0
3,18,18,1,0,0,1,0
2,24,13,0,0,0,1,1
1,50,133.65,1,1,0,1,1
1,32,30.5,0,1,0,0,1
1,36,71,1,0,0,1,1
3,8,21.075,1,0,0,1,0
3,31,18,1,0,0,1,0
1,26,78.85,0,0,0,1,1
3,26,20.575,1,1,0,1,0
2,30.37834711,0,0,1,0,1,0
1,50,55.9,1,1,0,1,0
3,33,8.6542,0,1,0,1,0
3,30,16.1,1,1,0,1,0
3,21,7.8542,0,1,0,1,0
3,30.37834711,7.2292,0,1,0,0,0
3,30.37834711,7.55,0,0,0,1,0
3,22,9,0,1,0,1,0
3,30.37834711,7.225,0,1,0,0,0
3,30.37834711,7.75,0,1,1,0,0
3,9,31.275,1,0,0,1,0
3,34,8.05,0,1,0,1,0
3,20,7.8542,0,1,0,1,0
1,71,49.5042,0,1,0,0,0
3,21,7.925,0,1,0,1,0
3,30.37834711,8.05,0,0,0,1,0
3,19,7.8958,0,1,0,1,0
3,21,8.05,0,1,0,1,0
3,30.5,7.75,0,0,1,0,0
2,32,13,0,0,0,1,1
1,2,151.55,1,0,0,1,0
1,47,25.5875,0,1,0,1,0
3,30.37834711,7.2292,0,0,0,0,1
3,22,10.5167,0,0,0,1,0
3,19,0,0,1,0,1,0
1,19,30,0,0,0,1,1
1,65,26.55,0,1,0,1,0
3,18,7.775,0,0,0,1,0
3,25,7.25,0,1,0,1,0
3,18,6.75,0,0,1,0,0
3,25,7.775,0,0,0,1,0
3,20,7.925,1,1,0,1,1
2,24,18.75,1,0,0,1,1
3,5,12.475,0,0,0,1,1
3,30.37834711,7.775,0,1,0,1,0
1,54,77.2875,1,1,0,1,0
3,1,15.7417,1,0,0,0,1
1,14,120,1,0,0,1,1
3,33,15.85,1,0,0,1,1
1,40,27.7208,0,1,0,0,0
3,45.5,7.225,0,1,0,0,0
3,33,7.8958,0,1,0,1,0
1,16,39.4,1,0,0,1,1
2,30,21,1,0,0,1,1
3,30.37834711,7.75,0,0,1,0,1
1,30,31,0,0,0,0,1
1,30.37834711,133.65,1,0,0,1,1
3,30.37834711,7.2292,0,1,0,0,0
3,16,18,1,1,0,1,0
3,30.37834711,8.05,0,1,0,1,0
3,21,8.05,0,1,0,1,0
3,21,7.65,0,0,0,1,1
2,40,13,0,0,0,1,1
3,30.37834711,24.15,1,0,1,0,1
1,51,26.55,0,1,0,1,1
3,24,16.7,1,0,0,1,1
1,35,53.1,1,0,0,1,1
2,34,13,0,1,0,1,0
2,31,26.25,1,0,0,1,1
2,29,10.5,0,0,0,1,1
3,16,46.9,1,0,0,1,0
3,65,7.75,0,1,1,0,0
1,58,113.275,1,1,0,0,0
3,30.37834711,7.25,0,1,0,1,0
3,19,7.775,0,1,0,1,0
3,30.37834711,7.05,0,1,0,1,0
1,41,134.5,0,0,0,0,1
3,11,46.9,1,1,0,1,0
3,28,22.525,0,1,0,1,0
3,32,8.05,0,1,0,1,1
3,3,15.9,1,1,0,1,1
1,36,135.6333,0,0,0,0,1
1,45,164.8667,1,0,0,1,1
3,1,46.9,1,1,0,1,0
3,30.37834711,7.55,0,1,0,1,0
3,30.37834711,14.5,0,1,0,1,0
1,30.37834711,26,0,1,0,1,0
3,23,9.225,0,1,0,1,0
3,32,7.925,0,1,0,1,1
2,34,13,0,0,0,1,1
2,43,26.25,1,1,0,1,0
3,51,7.0542,0,1,0,1,0
3,26,7.8875,0,1,0,1,0
3,30.37834711,7.8958,0,1,0,1,0
3,14.5,14.4542,1,0,0,0,0
2,19,13,0,1,0,1,0
1,28,82.1708,1,1,0,0,0
2,21,10.5,0,0,0,1,1
1,22,135.6333,0,1,0,0,0
3,42,8.6625,0,1,0,1,0
1,31,113.275,1,0,0,0,1
2,36,13,0,0,0,1,1
1,48,52,1,1,0,1,1
1,62,80,0,0,0,1,1
3,25,7.65,0,1,0,1,0
1,39,0,0,1,0,1,0
2,23,13,0,1,0,1,0
1,50,28.7125,0,0,0,0,0
3,14,7.8542,0,0,0,1,0
2,50,13,0,1,0,1,0
3,59,7.25,0,1,0,1,0
3,30.37834711,6.95,0,1,1,0,0
3,30.37834711,7.75,0,1,1,0,0
1,36,512.3292,1,1,0,0,1
1,48,39.6,1,0,0,0,1
3,44,7.925,0,1,0,1,1
3,4,31.275,1,1,0,1,0
2,14,30.0708,1,0,0,0,1
3,30.37834711,14.4583,1,0,0,0,0
3,23,7.925,0,0,0,1,0
1,15,211.3375,1,0,0,1,1
1,39,55.9,1,0,0,1,1
3,30.37834711,8.1125,0,1,0,1,1
1,51,77.9583,1,0,0,1,1
1,36,120,1,1,0,1,1
2,40,39,1,0,0,1,1
2,0.83,29,1,1,0,1,1
3,21,7.25,0,1,0,1,0
3,39,24.15,0,1,0,1,0
2,2,26,1,0,0,1,1
1,40,31,0,1,0,0,1
3,18,6.4958,1,1,0,1,0
3,32,7.75,0,1,1,0,0
3,30.37834711,7.8958,0,1,0,1,0
1,40,0,0,1,0,1,0
3,36,7.4958,0,1,0,1,0
2,19,10.5,0,1,0,1,1
1,42,227.525,0,0,0,0,1
1,52,78.2667,1,0,0,0,1
2,34,13,0,1,0,1,1
3,30.37834711,15.5,1,1,1,0,0
3,26,7.925,0,0,0,1,1
2,18,73.5,0,1,0,1,0
1,25,55.4417,1,1,0,0,1
2,29,10.5,0,1,0,1,0
1,30.37834711,31,0,1,0,1,0
3,20,7.8542,0,1,0,1,0
2,1,39,1,1,0,1,1
3,18,7.75,0,1,0,1,0
3,30.37834711,19.9667,1,1,0,1,0
3,43,8.05,0,1,0,1,0
3,30.37834711,8.05,0,1,0,1,0
3,23,7.8958,0,1,0,1,0
2,55,16,0,0,0,1,1
2,25,13,0,1,0,1,0
3,42,7.65,0,1,0,1,0
1,30.37834711,0,0,1,0,1,0
3,33,9.5,0,1,0,1,0
1,28,35.5,0,1,0,1,1
1,30.37834711,146.5208,1,0,0,0,1
2,30,13,0,1,0,1,0
3,14,46.9,1,1,0,1,0
3,61,6.2375,0,1,0,1,0
2,23,13,0,1,0,1,0
3,30.37834711,7.75,0,1,1,0,0
1,37,29.7,1,1,0,0,0
3,30,8.05,0,1,0,1,0
2,29,21,1,1,0,1,0
3,17,7.2292,1,1,0,0,0
3,25,7.8958,0,1,0,1,0
3,22,9.8375,0,0,0,1,0
2,28,10.5,0,1,0,1,0
3,30.37834711,7.8958,0,1,0,1,0
3,13,7.2292,0,0,0,0,1
2,29,26,1,0,0,1,1
1,30.37834711,82.1708,1,0,0,0,1
2,47,15,0,1,0,1,0
1,18,227.525,1,0,0,0,1
2,24,13,0,0,0,1,0
3,24,7.4958,0,1,0,1,0
3,30.37834711,7.7375,0,0,1,0,1
3,30.37834711,8.05,0,1,0,1,0
1,39,110.8833,1,0,0,0,1
3,44,8.05,0,1,0,1,0
3,26,7.8542,1,1,0,1,0
1,29,66.6,1,1,0,1,0
3,30.37834711,25.4667,1,0,0,1,0
1,50,247.5208,1,0,0,0,1
1,45,26.55,0,1,0,1,1
3,40,9.475,1,0,0,1,0
3,17,14.4583,0,0,0,0,0
3,30.37834711,15.1,0,1,0,1,0
2,45,13.5,0,0,0,1,1
1,25,151.55,1,0,0,1,0
3,4,27.9,1,1,0,1,0
3,14,39.6875,1,1,0,1,0
1,48,25.9292,0,0,0,1,1
1,21,262.375,1,0,0,0,1
3,9,15.9,1,1,0,1,1
3,36,7.8958,0,1,0,1,0
2,36,13,0,0,0,1,1
1,17,57,1,0,0,1,1
3,11,18.7875,0,1,0,0,0
1,35,83.475,1,0,0,1,1
3,30.37834711,6.8583,0,1,1,0,0
1,28,47.1,0,1,0,1,0
3,19,8.1583,0,1,0,1,0
3,37,9.5875,0,0,0,1,0
3,30.37834711,8.05,0,1,0,1,0
3,3,31.3875,1,1,0,1,1
2,25,26,1,1,0,1,0
3,38,7.8958,0,1,0,1,0
3,20,9.825,1,0,0,1,0
1,62,26.55,0,1,0,1,0
3,28,7.8958,0,1,0,1,0
3,30.37834711,7.8958,0,1,0,1,0
3,28,15.85,1,1,0,1,0
3,29,15.2458,1,0,0,0,1
1,30,93.5,0,0,0,1,1
2,34,21,1,1,0,1,0
2,24,73.5,1,1,0,1,0
3,30.37834711,7.8958,0,1,0,1,0
1,35,512.3292,0,1,0,0,1
3,35,7.125,0,1,0,1,0
1,27,76.7292,0,1,0,0,1
1,70,71,1,1,0,1,0
2,27,13,0,1,0,1,0
3,33,7.775,0,1,0,1,0
3,0.42,8.5167,1,1,0,0,1
3,50,8.05,0,1,0,1,0
3,17,7.0542,1,1,0,1,0
1,49,76.7292,1,0,0,0,1
3,39,31.275,1,1,0,1,0
2,52,13,0,1,0,1,0
2,51,12.525,0,1,0,1,0
3,30.37834711,7.7333,0,1,1,0,0
2,37,26,1,1,0,1,0
3,40.5,14.5,1,1,0,1,0
3,27,12.475,1,0,0,1,1
1,44,90,1,1,1,0,0
1,28,26.55,0,1,0,1,1
3,26,7.8542,0,0,0,1,1
1,30,86.5,0,0,0,1,1
2,25,13,0,1,0,1,0
3,30.37834711,7.775,0,1,0,1,1
3,32,7.925,0,1,0,1,0
2,21,11.5,1,1,0,1,0
1,24,69.3,0,0,0,0,1
2,66,10.5,0,1,0,1,0
1,60,26.55,0,1,0,1,0
3,14,11.2417,1,0,0,0,1
1,39,79.65,1,0,0,1,1
3,30,8.05,0,1,0,1,0
3,34.5,6.4375,0,1,0,0,0
3,25,7.05,0,1,0,1,0
2,54,14,0,1,0,1,0
3,20,7.05,0,1,0,1,0
3,23,7.8542,0,1,0,1,0
1,36,40.125,0,1,0,0,0
3,28,7.8958,0,0,0,1,0
3,24,19.2583,1,0,0,0,1
2,42,13,0,0,0,1,1
1,40,134.5,1,0,0,0,1
3,30,24.15,1,0,0,1,0
3,40,15.5,1,1,1,0,0
1,24,263,1,0,0,1,1
1,39,83.1583,1,0,0,0,1
3,51,8.05,0,1,0,1,0
2,34,26,1,1,0,1,0
3,30,7.8958,0,1,0,1,0
3,2,29.125,1,1,1,0,0
3,24,9.5,0,1,0,1,0
3,39,29.125,1,0,1,0,0
3,21,7.925,0,1,0,1,0
1,30,56.9292,0,0,0,0,1
1,32,76.2917,0,0,0,0,1
1,49,89.1042,1,1,0,0,1
2,30,10.5,0,1,0,1,0
1,23,263,1,0,0,1,1
1,30.37834711,25.925,0,1,0,1,0
2,36,27.75,1,1,0,1,0
3,30.37834711,7.8958,0,1,0,0,0
3,18,7.4958,0,0,0,1,1
3,30.37834711,15.5,1,1,1,0,0
1,63,77.9583,1,0,0,1,1
2,40,15.75,0,0,0,1,1
1,19,91.0792,1,0,0,0,1
1,46,61.175,1,1,0,1,0
2,30.37834711,0,0,1,0,1,0
1,30.37834711,221.7792,0,1,0,1,0
1,36,78.85,1,1,0,1,0
1,80,30,0,1,0,1,1
3,30.37834711,14.5,0,1,0,1,0
3,19,8.05,0,1,0,1,1
1,11,120,1,1,0,1,1
1,24,69.3,0,0,0,0,1
2,39,26,0,1,0,1,0
3,30.37834711,15.5,0,1,1,0,0
3,30.37834711,15.5,1,0,1,0,1
2,28,13,0,1,0,1,0
1,42,26.2875,0,1,0,1,1
3,30.37834711,56.4958,0,1,0,1,1
3,19,7.65,0,1,0,1,0
3,7,29.125,1,1,1,0,0
3,30.37834711,69.55,1,0,0,1,0
1,50,106.425,1,1,0,0,0
1,30.37834711,55,1,0,0,1,1
3,18,9.35,1,0,0,1,1
1,0.92,151.55,1,1,0,1,1
3,30.37834711,7.75,0,1,1,0,1
3,9,15.2458,1,0,0,0,0
3,1,20.575,1,1,0,1,1
1,22,66.6,1,0,0,1,1
3,20.5,7.25,0,1,0,1,0
3,22,7.2292,0,1,0,0,0
3,30.37834711,7.7375,0,1,1,0,0
3,29,7.875,0,1,0,1,0
3,34,8.05,0,1,0,1,0
3,30.37834711,56.4958,0,1,0,1,0
3,18,20.2125,1,1,0,1,0
3,9,46.9,1,1,0,1,0
3,37,7.925,1,1,0,1,0
2,30.37834711,13,0,1,0,1,1
1,30.37834711,30,0,1,0,1,1
2,18,23,1,0,0,1,1
3,38,8.6625,0,1,0,1,0
1,30.37834711,39.6,0,1,0,0,0
3,25,7.05,0,1,0,1,0
2,30.37834711,0,0,1,0,1,0
2,48,65,1,0,0,1,1
1,30.37834711,35,0,1,0,1,0
1,58,153.4625,1,0,0,1,1
3,20,8.6625,0,1,0,1,0
1,60,75.25,1,0,0,0,1
1,29,30,0,1,0,1,0
2,45,26.25,1,0,0,1,1
1,24,79.2,0,1,0,0,0
2,52,13.5,0,1,0,1,0
3,24,16.1,1,1,0,1,0
3,43,46.9,1,0,0,1,0
3,30,7.25,0,1,0,1,0
3,47,9,0,1,0,1,0
3,29,8.05,0,1,0,1,0
1,52,93.5,1,0,0,1,1
3,30.37834711,7.75,0,0,1,0,1
1,37,53.1,1,1,0,1,0
3,30.37834711,7.2292,0,1,0,0,0
3,25,0,0,1,0,1,1
1,30.37834711,110.8833,0,0,0,0,1
3,30.37834711,7.8958,0,1,0,1,0
3,19,7.8958,0,1,0,1,0
3,26,7.8958,0,1,0,1,0
3,2,12.2875,1,0,0,1,1
3,40,27.9,1,1,0,1,0
3,29,10.4625,1,0,0,1,0
3,9,34.375,1,0,0,1,0
3,30.37834711,69.55,1,1,0,1,0
3,5,31.3875,1,0,0,1,1
3,29,9.5,0,1,0,1,1
1,27,211.5,1,1,0,0,0
2,30,12.35,0,0,1,0,1
3,30.37834711,25.4667,1,0,0,1,0
2,2,26,1,1,0,1,1
3,31,7.775,0,1,0,1,0
3,30.37834711,8.05,0,0,0,1,0
1,30.37834711,27.7208,0,1,0,0,0
3,26,56.4958,0,1,0,1,1
3,45,14.4542,1,0,0,0,0
1,30,106.425,0,0,0,0,1
2,32,26,1,1,0,1,1
3,32,7.8958,0,1,0,1,0
3,4,22.025,1,0,0,1,1
3,30.37834711,7.8958,0,1,0,1,0
1,16,57.9792,1,0,0,0,1
1,44,27.7208,0,0,0,0,1
3,5,19.2583,1,0,0,0,1
1,30.37834711,26.55,0,1,0,1,1
1,42,52.5542,1,1,0,1,1
2,50,10.5,0,0,0,1,1
3,27,6.975,0,1,0,1,1
3,30.37834711,8.7125,0,1,0,0,0
3,40,7.8958,0,1,0,1,0
1,55,30.5,0,1,0,1,0
3,41,20.2125,1,0,0,1,0
1,65,61.9792,1,1,0,0,0
3,22,8.05,0,1,0,1,0
1,49,25.9292,0,0,0,1,1
3,22,9.35,0,1,0,1,0
3,30.37834711,8.05,0,1,0,1,0
1,31,50.4958,0,1,0,1,0
2,25,26,1,0,0,1,1
3,38,7.05,0,1,0,1,0
3,21,9.825,1,0,0,1,0
3,30.37834711,7.75,0,0,1,0,1
3,26,7.775,0,1,0,1,0
3,21,8.4333,0,1,0,1,0
3,16,7.75,0,0,1,0,1
1,45,35.5,0,1,0,1,0
3,30.37834711,7.75,0,1,1,0,0
3,32,56.4958,0,1,0,1,1
3,30.37834711,7.225,0,1,0,0,0
3,41,7.125,0,1,0,1,0
2,54,26,0,1,0,1,0
3,29,7.0458,1,1,0,1,0
2,22,29,1,0,0,1,1
3,4,16.7,1,0,0,1,1
1,26,30,0,1,0,0,1
1,51,61.3792,1,1,0,0,0
2,60,39,1,1,0,1,0
2,8,26.25,1,0,0,1,1
3,26,7.8958,0,1,0,1,0
1,38,227.525,0,0,0,0,1
3,23.5,7.2292,0,1,0,0,0
2,30.37834711,12.35,0,0,1,0,1
2,18,11.5,0,1,0,1,0
2,0.67,14.5,1,1,0,1,1
1,23,63.3583,1,1,0,0,1
2,42,27,1,1,0,1,0
1,38,80,0,0,0,1,1
1,33,53.1,1,0,0,1,1
2,30.37834711,13.8625,0,1,0,0,1
3,9,31.3875,1,1,0,1,0
